node_id,name,jurisdiction,jurisdiction_description,countries,sourceID,valid_until,note,matched_term
10097612,BELDEN INVESTMENTS LIMITED,BVI,British Virgin Islands,Jersey,Panama Papers,The Panama Papers data is current through 2015,,Belden
10099965,BLACK MARLIN ENERGY LIMITED,BVI,British Virgin Islands,Jersey,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10109934,MARLINDELL LIMITED,BVI,British Virgin Islands,United Kingdom,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10113967,BLUE MARLIN TRADING LIMITED,BVI,British Virgin Islands,Gibraltar,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10114510,MARLINGTON LIMITED,BVI,British Virgin Islands,Jersey,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10118036,OSPREY IMPORT LIMITED,BVI,British Virgin Islands,United Arab Emirates,Panama Papers,The Panama Papers data is current through 2015,,Osprey
10118536,TRENRON EQUITY LTD.,BVI,British Virgin Islands,Latvia,Panama Papers,The Panama Papers data is current through 2015,,Enron
10122833,Talon Africa Limited,BVI,British Virgin Islands,Mauritius,Panama Papers,The Panama Papers data is current through 2015,,Talon
10131399,Beldent Limited,BVI,British Virgin Islands,United Kingdom,Panama Papers,The Panama Papers data is current through 2015,,Belden
10131905,Black Marlin Exploration Limited,BVI,British Virgin Islands,Jersey,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10137572,OSPREY PORTFOLIO LIMITED,BVI,British Virgin Islands,Guernsey,Panama Papers,The Panama Papers data is current through 2015,,Osprey
10139038,CENRONT GLOBAL INC.,BVI,British Virgin Islands,Russia,Panama Papers,The Panama Papers data is current through 2015,,Enron
10141511,Blue Marlin Finance SA,BVI,British Virgin Islands,Netherlands,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10142926,OSPREY NOMINEES LIMITED,BVI,British Virgin Islands,Jersey,Panama Papers,The Panama Papers data is current through 2015,,Osprey
10143727,Osprey Holdings Management Limited,BVI,British Virgin Islands,Jersey,Panama Papers,The Panama Papers data is current through 2015,,Osprey
10144950,MARLIN HOLDINGS LIMITED,BVI,British Virgin Islands,Jersey,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10149918,MARLINA INC.,PMA,Panama,Switzerland,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10152326,KENRON SOLUTIONS LTD.,BVI,British Virgin Islands,Latvia,Panama Papers,The Panama Papers data is current through 2015,,Enron
10155060,MARLINA PROPERTIES LIMITED,BVI,British Virgin Islands,Cyprus,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10160823,TALONZE LIMITED,BVI,British Virgin Islands,United Arab Emirates,Panama Papers,The Panama Papers data is current through 2015,,Talon
10175481,OSPREY ENTERPRISES S.A.,PMA,Panama,Luxembourg,Panama Papers,The Panama Papers data is current through 2015,,Osprey
10175868,MARLIN GROUP INC.,BAH,Bahamas,Seychelles,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10176073,BELDENE PROPERTY HOLDINGS LTD.,BAH,Bahamas,United Kingdom,Panama Papers,The Panama Papers data is current through 2015,,Belden
10179835,JEDI LTD.,BAH,Bahamas,Switzerland,Panama Papers,The Panama Papers data is current through 2015,,JEDI
10185264,OSPREY TRADING LIMITED,NIUE,Niue,Switzerland,Panama Papers,The Panama Papers data is current through 2015,,Osprey
10189937,MARLIN ENTERPRISES CORP.,PMA,Panama,Panama,Panama Papers,The Panama Papers data is current through 2015,,Marlin
10193782,OSPREY GLOBAL CAPITAL MANAGEMENT CO. LTD.,BVI,British Virgin Islands,Andorra,Panama Papers,The Panama Papers data is current through 2015,,Osprey
10198603,ENRON INVESTMENTS LTD.,BVI,British Virgin Islands,Singapore,Panama Papers,The Panama Papers data is current through 2015,,Enron
137165,Talon377 Inc,BVI,British Virgin Islands,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Talon
141998,Talon Carbide & Tooling International Inc,BVI,British Virgin Islands,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Talon
147461,"Catalonia International, Ltd.",BVI,British Virgin Islands,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Talon
151801,"RAPTOR LINGZHE CO., LTD.",BVI,British Virgin Islands,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Raptor
162051,Raptor Investments Group Ltd,BVI,British Virgin Islands,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Raptor
158766,JEDI GROUP HOLDINGS LIMITED,BVI,British Virgin Islands,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,JEDI
169162,Marlinespike Trust,COOK,Cook Islands,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,,Marlin
162363,Osprey Finance Ltd,BVI,British Virgin Islands,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Osprey
189563,Etalon Ltd.,XXX,Undetermined,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,,Talon
197179,GLISAN COMMERCIAL INC.,XXX,Undetermined,British Virgin Islands;United Kingdom,Offshore Leaks,The Offshore Leaks data is current through 2010,,Glisan
186628,Rubert Marlin,XXX,Undetermined,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,This is not an offshore entity even though it was logged as such in original database ICIJ received. It isi an internal account created by the agent to record miscellaneous charges of an officer or intermediary,Marlin
191100,Antalonica Assosiation S.A.,XXX,Undetermined,British Virgin Islands;Russia,Offshore Leaks,The Offshore Leaks data is current through 2010,,Talon
191414,CENRON DEVELOPMENT LTD.,XXX,Undetermined,United Kingdom;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Enron
208759,Raptor Investment Financial Ltd.,XXX,Undetermined,Not identified;United States,Offshore Leaks,The Offshore Leaks data is current through 2010,,Raptor
199231,Koppertone Group Ltd.,XXX,Undetermined,United States;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,,Kopper
197795,Raptor Worldwide Ltd.,XXX,Undetermined,British Virgin Islands;Singapore,Offshore Leaks,The Offshore Leaks data is current through 2010,,Raptor
204670,Marlinspike Investments Ltd.,XXX,Undetermined,Panama;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,,Marlin
223647,Raptor Investment Holdings Limited,XXX,Undetermined,British Virgin Islands;Ireland,Offshore Leaks,The Offshore Leaks data is current through 2010,,Raptor
231473,Raptor Capital Ltd.,XXX,Undetermined,United States;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,,Raptor
224321,Talon Holding Group Limited,XXX,Undetermined,United Kingdom;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Talon
140243,MARLINS INTERNATIONAL LTD,BVI,British Virgin Islands,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Marlin
176441,JEDI INTERNATIONAL GROUP LIMITED,SAM,Samoa,Samoa,Offshore Leaks,The Offshore Leaks data is current through 2010,,JEDI
123645,BLUE MARLIN INVESTMENTS LIMITED,BVI,British Virgin Islands,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Marlin
20003330,OSPREY INVESTMENTS INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20009559,TIMBERWOLF INTERNATIONAL INVESTMENTS INC,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Timberwolf
20000578,MARLIN LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20002537,SOUTHAMPTON INVESTMENTS INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Southampton
20001223,VITALON INVESTMENT CORPORATION LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20013502,"MARLIN INVESTMENTS, INC.",BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20022560,BLUE MARLIN ENTERPRISES LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20019757,SOUTHAMPTON CONTINENTAL INVESTMENTS,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Southampton
20021275,"OSPREY PARTNERS, LTD.",BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20018321,SOCIETE EXECUTIF E TALON D'OR CORPORATION,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20012632,OSPREY INTERNATIONAL LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20014764,ENRON INTERNATIONAL LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Enron
20021866,OSPREY TECHNOLOGY LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20014846,OSPREY CORPORATION,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20013197,"MARLIN FUTURE FUND LTD, THE",BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20019077,WHITEWING INVESTMENTS LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Whitewing
20024348,JEDI INC,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,JEDI
20025813,WHITEWINGS COMPANY LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Whitewing
20034872,MARLING CONSULTING LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20035034,OSPREY FUND LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20026742,SINTALONIA ASSOCIATES LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20038688,OSPREY ENTERPRISES INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20046521,EORAPTOR LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Raptor
20044743,OSPREY SERVICES LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20041901,JEDI INTERNATIONAL INVESTMENT SA,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,JEDI
20039040,WHITE MARLINE INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20043961,BLUE MARLIN CORP.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20036494,"RAPTOR OFFSHORE FUND, LTD.",BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Raptor
20039732,MARLIN TRADING LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20052012,JEDI MANAGEMENT S. A.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,JEDI
20042594,"TALON INVESTMENTS, LTD",BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20039859,BELDEN INVESTMENTS LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Belden
20038181,MARLIN GROUP INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20040044,RAPTOR CORPORATION,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Raptor
20048289,MARLIN ASSOCIATES LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20054977,OSPREY & COMPANY LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20055877,JEDI WORKS INC,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,JEDI
20051754,JEDI LTD,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,JEDI
20056524,OSPREY MERIDIAN LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20056537,TALON BUSINESS GROUP LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20056563,BLUE MARLIN INVESTMENTS(BAH) LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20070934,SOUTHAMPTON HOLDINGS CORP.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Southampton
20066622,BLUE MARLIN HOLDINGS LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20060065,BLACK MARLIN LTD,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20067684,MARLIN COVE LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20065208,BLACK MARLIN (BAHAMAS) LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20068821,OSPREY INTERNATIONAL LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20068835,BLUE MARLIN EQUITY HOLDINGS LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20068900,OSPREY INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20074212,MC OSPREY SHIPPING LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20074485,MARLINTON INVESTMENTS LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20081644,TALON HOLDINGS CORPORATION,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20075560,"TALON INTERNATIONAL BAHAMAS, LTD.",BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20077765,RAPTORS INVESTMENT LTD,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Raptor
20074749,TALON TRADING LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20091578,MARLIN MANAGEMENT LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20078825,RED RAPTOR CORPORATION,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Raptor
20073026,SOUTHAMPTON GENETIC SCIENCES INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Southampton
20075804,LJM INVESTMENTS LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,LJM
20092096,MARLIN SERVICES INC,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20087032,"MARLIN INVESTORS GROUP, INC.",BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20090697,MANCHESTER MARLIN INTERNATIONAL LTD,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20084642,BELDENE PROPERTY HOLDINGS LTD,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Belden
20086418,TALON CORPORATION LTD,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20094221,"GOLDEN MARLINE, INC",BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20087906,"BIG BLUE MARLIN, LTD",BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20094536,EAGLE TALON CONSULTING CORP.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20145024,MARLIN MOUNTAIN PEAK INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20166792,MARLIN GLOBAL VENTURES LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20167460,AFRICAN RAPTOR SHIPPING CO. LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Raptor
20097866,MARLIN EXPORT INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20098705,OSPREY INVESTMENTS LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20098856,FLYING MARLIN INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20122403,BLUE MARLIN LKS LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20133361,BLUE MARLIN SLOPES LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20174525,JEDI THREE INVESTMENTS LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,JEDI
20174579,JEDI THREE PRIME INVESTMENTS LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,JEDI
20123357,OSPREY CLIFFS COMPANY LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20129335,MARLIN CONSULTING RESOURCES LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20140627,OSPREY HOLDINGS LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20140790,Blue Marlin Rock Ltd.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20150886,SOUTHAMPTON CONSULTANCE LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Southampton
20151192,Marlin Manor Ltd.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20161518,Jedine Holdings Ltd.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,JEDI
20169570,RAPTOR HOLDING GROUP INVESTMENT FUND LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Raptor
20170206,BLUE MARLIN MARINE CORP.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20101081,OSPREY CONSULTANTS INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20101540,SOUTHAMPTON INTERNATIONAL INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Southampton
20115083,MARLINGDENE LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20127142,MARLIN CORPORATION LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20148043,Marlin Wealth Management Inc.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20158090,Osprey Investment & Consulting Inc.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20113535,BLUE MARLIN VENTURES INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20113646,MARLIN VENTURES INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20136359,IRON TALON LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20136618,EAGLE TALON MANAGEMENT LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20157704,"Talon Exploration, Ltd.",BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20157742,BLUEMARLIN INVESTMENTS HOLDINGS LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20165751,MARLINFISH INC.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20166320,MARLIN WORLDWIDE LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20172732,OSPREY SHIPPING CORP.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20173151,BMB Marlin Ltd.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20106751,BOTALON LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Talon
20149161,Marlin Systems Ltd.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20159309,AFRICAN OSPREY SHIPPING CO. LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20171092,Osprey Network Investment Fund Ltd.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20118568,LKS BLUE MARLIN (BAHAMAS) LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20119480,OSPREY VENTURES LIMITED,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20120573,"MARLIN OF THE BAHAMAS, INC.",BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20132642,MARLIN INTERNATIONAL HOLDINGS LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
20142379,OSPREY MANAGEMENT LTD.,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Osprey
20153777,Raptor Overseas Limited,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Raptor
21000119,The Marlin Foundation,BAH,Bahamas,,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,Marlin
82024793,Belden & Blake International Limited,BM,Bermuda,Bermuda,Paradise Papers - Appleby,Appleby data is current through 2014,,Belden
82007507,Marlinspike Limited,BM,Bermuda,Bermuda,Paradise Papers - Appleby,Appleby data is current through 2014,,Marlin
82006242,Southampton Technologies Ltd.,BM,Bermuda,Bermuda,Paradise Papers - Appleby,Appleby data is current through 2014,,Southampton
82001208,Talon Corporation Ltd.,BM,Bermuda,Bermuda,Paradise Papers - Appleby,Appleby data is current through 2014,,Talon
82000725,Cal-Southampton Reinsurance Limited,BM,Bermuda,Bermuda,Paradise Papers - Appleby,Appleby data is current through 2014,,Southampton
82000726,"Cal-Southampton Holdings, Limited",BM,Bermuda,Bermuda,Paradise Papers - Appleby,Appleby data is current through 2014,,Southampton
82000613,Osprey Limited,BM,Bermuda,Bermuda,Paradise Papers - Appleby,Appleby data is current through 2014,,Osprey
82000351,Landmark (Southampton) Limited,BM,Bermuda,Bermuda,Paradise Papers - Appleby,Appleby data is current through 2014,,Southampton
82021466,Osprey Aviation Limited,IM,Isle of Man,Isle of Man;Singapore,Paradise Papers - Appleby,Appleby data is current through 2014,,Osprey
82026005,Enron India GDR Holding Ltd. ** INCOMPLETE **,KY,Cayman Islands,Cayman Islands;United States,Paradise Papers - Appleby,Appleby data is current through 2014,,Enron
82026007,Enron Caribbean Basin Energy Services Ltd. ** INCOMPLETE **,KY,Cayman Islands,Cayman Islands;United States,Paradise Papers - Appleby,Appleby data is current through 2014,,Enron
82026013,Enron Colombia Energy Services Ltd. ** INCOMPLETE **,KY,Cayman Islands,Cayman Islands;United States,Paradise Papers - Appleby,Appleby data is current through 2014,,Enron
82026020,Enron Bahamas Co. Ltd. ** INCOMPLETE **,KY,Cayman Islands,Cayman Islands;United States,Paradise Papers - Appleby,Appleby data is current through 2014,,Enron
82011074,Marlindo Holdings Ltd.,KY,Cayman Islands,Cayman Islands,Paradise Papers - Appleby,Appleby data is current through 2014,,Marlin
82011824,Enron India Holdings Ltd. ** INCOMPLETE **,KY,Cayman Islands,Cayman Islands,Paradise Papers - Appleby,Appleby data is current through 2014,,Enron
82011831,Enron Commercial Finance Ltd.,KY,Cayman Islands,Cayman Islands,Paradise Papers - Appleby,Appleby data is current through 2014,,Enron
82011849,EnronEnergo Holdings Ltd. ** INCOMPLETE **,KY,Cayman Islands,Cayman Islands,Paradise Papers - Appleby,Appleby data is current through 2014,,Enron
82011525,Osprey Aircraft leasing Limited (Fourteen)**INCOMPLETE**,KY,Cayman Islands,Cayman Islands;United States,Paradise Papers - Appleby,Appleby data is current through 2014,,Osprey
82012260,Osprey Aircraft Leasing Limited (Five),KY,Cayman Islands,Cayman Islands,Paradise Papers - Appleby,Appleby data is current through 2014,,Osprey
