entity_name,entity_type,email_count,amounts_mentioned,sample_context
Michael Kopper,executive,233,"7 | 4 | 3 | 1 | 2 | 1.40 | 14.10 | 14 | 16 | 24 | 12 | 35 | 60 | 15.40 | 100 | 55 | 50 | 15.04 | 600 | 90 | 9 | 44 | 500 | 8.85 | 586 | 13.81 | 1.59 | 0.02 | 2.11 | 0.01 | 30 | 184,275 | 40,000 | 5 | ","T&S/Enron@ENRON, John Arnold/HOU/ECT@ECT, Janet R  Dietrich/HOU/ECT@ECT, Gene Humphrey/HOU/ECT@ECT, Michael Kopper/HOU/ECT@ECT,  Paul Racicot/Enron Communications@Enron Communications, Ed Smida/Enron  Communication"
Lou Pai,executive,229,"750 | 406 | 34 | 100 | 80 | 50, | 84 | 42.93 | 40.25 | 950 | 92 | 2 | 11 | 6 | 1 | 353 | 270 | 44 | 15 | 40 | 20 | 35",usey Dave Delainey Jim Derrick Andy Fastow Mark Frevert Kevin Hannon Stan Horton Steve Kean Ken Lay Lou Pai Ken Rice John Sherriff Jeff Skilling Greg Whalley
LJM Cayman,spe,197,"1.01 | 1 | 1.64 | 35 | 298 | 737 | 595 | 750 | 1.11 | 3 | 2 | 20.65 | 5.40 | 4 | 150 | 60 | 880 | 500 | 9 | 100 | 80 | 50, | 2.65 | 11.16 | 16 | 24 | 12 | 1.50 | 9.67 | 2.96 | 15.40 | 14 | 30 | 90 | 3","y its chief financial officer, Andrew Fastow, the Wall Street Journal reported.       Fastow set up LJM Cayman LP and LJM2 Co-Investment LP with the approval of Enron's board. The partnerships have engaged in b"
Chewco,spe,195,3 | 1 | 2 | 1.40 | 14.10 | 14 | 96 | 113 | 16 | 24 | 12 | 35 | 30 | 8 | 4 | 2.96 | 5.35 | 4.60 | 4.98 | 15.40 | 1.05 | 20 | 44.87 | 34.87 | 94.68 | 50 | 15.04 | 7.55 | 44 | 500 | 8.85 | 600 | 586 | 7 ,"s database of public filings produced no reference to this other em= ployee-related entity known as Chewco.=20 Chewco was established in 1997 ""with approximately $400 million in capital = commitments"" to bu"
Rebecca Mark,executive,168,"150 | 60 | 880 | 65 | 15 | 1 | 500 | 10 | 9 | 550,000 | 100,000 | 420 | 3 | 100 | 5 | 406 | 2 | 64 | 1.35 | 29 | 45 | 84 | 42.93 | 40.25 | 275 | 7 | 48 | 7.00 | 250 | 1000 | 1.19 | 9.41 | 90 | 1.69 | ","r as the company switched its focus?from developing assets to energy and=  commodity trading.??     Rebecca Mark, one of the highest-ranking women in=  U.S.?business, quit August 2000 as chairman and chief execut"
Condor,spe,102,"500 | 320 | 403,000 | 13 | 3 | 800 | 550 | 178 | 14 | 25,861.67 | 2,261.30 | 2,113.79 | 157 | 0.52 | 5 | 158 | 1.05 | 20 | 44.87 | 34.87 | 94.68 | 7 | 159 | 6 | 15,000 | 618 | 4 | 220 | 30 | 138,474 |","n't behave  that way again until close to expiry, but i like the j/k outright much moreso  than the condor.     Caroline Abramo@ENRON 04/30/2001 12:24 PM To: John Arnold/HOU/ECT@ECT cc:   Subject: pulaski"
Sherron Watkins,executive,71,"1 | 12,000 | 46,000 | 220 | 500,000 | 2 | 100 | 50 | 3 | 9.24 | 13.81 | 90 | 600 | 30 | 184,275 | 7 | 101 | 40 | 145 | 500 | 5 | 965 | 35 | 618 | 80 | 353 | 51 | 55 | 31 | 6 | 15,000 | 115 | 110 | 4 |","tact Patti and set up a time for me to talk to  Sally.     Sally Beck@ECT 07/07/2000 10:04 PM   To: Sherron Watkins/Enron Communications@Enron Communications, Berney C  Aucoin/HOU/ECT@ECT, Mark Palmer/Corp/Enron@ENR"
David Delainey,executive,62,"1.92 | 1.97 | 1.80 | 1 | 9 | 16 | 600 | 4 | 1.33 | 25 | 134.46 | 955.80 | 1,237.60 | 464.52","ected from energy price uncertainty and  volatility, particularly in California and New York,"" said David Delainey,  chairman and chief executive of Enron Energy Services. Financial terms were not disclosed.  Under"
Pronghorn,spe,60,"6 | 15 | 1,000 | 710 | 710,594,336 | 600 | 259 | 10,000 | 30,000 | 35,000 | 10,000, | 422,000 | 7698 | 94,126.27 | 35000","wer Company) warrants.   This deferred tax would have been accrued in Harrier I LLC, Grizzly I LLC, Pronghorn I LLC and Roadrunner I LLC.   Let's discuss before you get started.   Thanks, John.   -----Original"
Bobcat,spe,49,"7 | 6 | 15 | 1,000 | 710 | 710,594,336 | 600 | 259 | 9.99 | 1 | 434 | 67 | 383 | 30 | 138,474 | 7.92 | 900","ly came to the University of Minnesota before transferring to Southwest Texas State. He played in a Bobcat offense that featured the vertical passing game, throwing for 3,497 yards in two seasons.  The Viki"
Southampton,spe,47,"500 | 710 | 849 | 1 | 125 | 106 | 55 | 2 | 3 | 25 | 20 | 75 | 17 | 410 | 21 | 101 | 9 | 280 | 218 | 30 | 4 | 220 | 40,000 | 5 | 82 | 270 | 44 | 6 | 15 | 229 | 259 | 289 | 119.40 | 59.50 | 87.00 | 99.5",destruct. A strong history but off > > > the scene of late. Unfortunate uniforms. > > > Australia: Southampton - Completely harmless. Not a contender. Just > > > in > > > it to make up the numbers. Supporters a
Braveheart,spe,34,"100 | 19.20 | 4.80 | 40 | 145 | 30 | 2 | 115 | 110 | 383 | 600 | 16 | 1 | 22 | 200 | 150 | 700,000 | 1.99 | 12 | 19.50 | 19.95","s recruiting winners. But each of the line= s=20 has to have experience, and there have to be some ""Braveheart""-type leaders= =20 on the team.=20 =09 =09Right now, the offensive line is still growing, even thou"
Fishtail,spe,28,,"JM Cayman L.P., LJM Co-Investment L.P., TNPC1, Margaux1, Cortez (TNPC), Osprey1, Avici, Catalytica, Fishtail (Pulp & Paper), Backbone, ENA CLO (Merlin), Nowa Sarzyna (Poland), Bob West, MEGS, Yosemite, EECC T"
Timberwolf,spe,17,259,"LLC	(Company # 1201-RDRI) Bobcat I LLC		(Company # 1200-BOBC) Grizzly I, LLC		(Company # 88B-GRZL) Timberwolf I, LLC	(Company # 88C-TWLF  Evidence of the cancellations to be filed in the 48th floor corporate v"
Timothy Belden,executive,7,,"om:  ""Fergus, Gary S."" <GFergus@brobeck.com>                            03/02/2001 01:26 PM 	  To: ""Timothy Belden (E-mail)"" <tim.belden@enron.com>,  ""'Bill.williams.iii@enron.com'"" <Bill.williams.iii@enron.com>, """
