transaction_id,date,amount,currency,sender_account_id,sender_name,receiver_account_id,receiver_name,description,transaction_type
B680F446-B78,1999-01-17,1210625.68,USD,ACC-ENR-001,Enron Corp,ACC-EXT-005,Portland General Electric,Natural gas procurement,wire_transfer
569A8D65-7D7,1999-01-18,1298269.39,USD,ACC-EXT-003,Deutsche Bank AG,ACC-ENR-001,Enron Corp,Quarterly service fee,wire_transfer
537F6D66-128,1999-01-18,1399506.69,USD,ACC-ENR-001,Enron Corp,ACC-EXT-002,JP Morgan Chase,Gas supply contract payment,wire_transfer
8CE80F0E-7C4,1999-01-18,549850.09,USD,ACC-ENR-001,Enron Corp,ACC-EXT-010,EOTT Energy Partners,Pipeline maintenance services,wire_transfer
175DEABD-486,1999-01-18,1679900.13,USD,ACC-EXT-003,Deutsche Bank AG,ACC-ENR-001,Enron Corp,Pipeline maintenance services,wire_transfer
B086C519-304,1999-01-19,1730613.56,USD,ACC-EXT-001,Citibank N.A.,ACC-ENR-001,Enron Corp,Transmission tariff payment,wire_transfer
04F2A606-1BF,1999-01-19,1065692.8,USD,ACC-EXT-010,EOTT Energy Partners,ACC-ENR-001,Enron Corp,Pipeline maintenance services,wire_transfer
6E5B45D0-EE7,1999-01-20,473665.51,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,IT infrastructure services,wire_transfer
43B91CEF-094,1999-01-20,418934.88,USD,ACC-EXT-003,Deutsche Bank AG,ACC-ENR-001,Enron Corp,Equipment lease payment,wire_transfer
A04D23F7-57D,1999-01-20,1221485.63,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Capacity reservation charge,wire_transfer
CE2F5A77-0E1,1999-01-20,1159241.81,USD,ACC-ENR-001,Enron Corp,ACC-EXT-003,Deutsche Bank AG,Transmission tariff payment,wire_transfer
B8C4F214-40C,1999-01-20,1242625.86,USD,ACC-EXT-008,Enron Pipeline Company,ACC-ENR-001,Enron Corp,Transmission tariff payment,wire_transfer
878CD998-B6E,1999-01-20,747256.48,USD,ACC-ENR-001,Enron Corp,ACC-EXT-008,Enron Pipeline Company,Quarterly service fee,wire_transfer
3E0E4E2F-3EA,1999-01-21,1888043.11,USD,ACC-ENR-001,Enron Corp,ACC-EXT-006,Dabhol Power Company,Balancing charge adjustment,wire_transfer
0831EADE-E5A,1999-01-23,345222.21,USD,ACC-EXT-007,Azurix Corp,ACC-ENR-001,Enron Corp,Capacity reservation charge,wire_transfer
4EE618EA-95D,1999-01-24,247691.58,USD,ACC-EXT-003,Deutsche Bank AG,ACC-ENR-001,Enron Corp,Energy trading settlement,wire_transfer
1EB9204F-B36,1999-01-24,1740875.16,USD,ACC-ENR-001,Enron Corp,ACC-EXT-002,JP Morgan Chase,Capacity reservation charge,wire_transfer
63CFC224-9A9,1999-01-24,1942445.97,USD,ACC-EXT-005,Portland General Electric,ACC-ENR-001,Enron Corp,Capacity reservation charge,wire_transfer
928FD3F2-69F,1999-01-24,1785203.14,USD,ACC-EXT-009,Wessex Water Services,ACC-ENR-001,Enron Corp,Capacity reservation charge,wire_transfer
36057845-10C,1999-01-25,1348875.7,USD,ACC-EXT-001,Citibank N.A.,ACC-ENR-001,Enron Corp,Regulatory compliance fee,wire_transfer
E2BAD19C-36E,1999-01-26,15111.33,USD,ACC-EXT-009,Wessex Water Services,ACC-ENR-001,Enron Corp,Quarterly service fee,wire_transfer
4AEF4D8C-DCC,1999-01-26,1571033.06,USD,ACC-EXT-010,EOTT Energy Partners,ACC-ENR-001,Enron Corp,Equipment lease payment,wire_transfer
2E9AD7EC-FF8,1999-01-26,488617.87,USD,ACC-EXT-008,Enron Pipeline Company,ACC-ENR-001,Enron Corp,Balancing charge adjustment,wire_transfer
55F52F8E-F9C,1999-01-26,147223.91,USD,ACC-EXT-006,Dabhol Power Company,ACC-ENR-001,Enron Corp,Fuel supply agreement,wire_transfer
DCC8E7B0-8CD,1999-01-27,578996.68,USD,ACC-EXT-009,Wessex Water Services,ACC-ENR-001,Enron Corp,Natural gas procurement,wire_transfer
84872120-172,1999-01-28,1284777.99,USD,ACC-ENR-001,Enron Corp,ACC-EXT-009,Wessex Water Services,Quarterly service fee,wire_transfer
BC3F9592-227,1999-01-29,737892.35,USD,ACC-EXT-009,Wessex Water Services,ACC-ENR-001,Enron Corp,Equipment lease payment,wire_transfer
2FCE1A6B-962,1999-01-29,207220.31,USD,ACC-EXT-002,JP Morgan Chase,ACC-ENR-001,Enron Corp,Natural gas procurement,wire_transfer
A10EB19E-401,1999-01-29,348544.54,USD,ACC-EXT-006,Dabhol Power Company,ACC-ENR-001,Enron Corp,Balancing charge adjustment,wire_transfer
58A7DEF6-63E,1999-01-30,191859.0,USD,ACC-ENR-001,Enron Corp,ACC-EXT-004,Barclays PLC,IT infrastructure services,wire_transfer
53DD1594-435,1999-01-31,204838.37,USD,ACC-EXT-009,Wessex Water Services,ACC-ENR-001,Enron Corp,Pipeline maintenance services,wire_transfer
EF319AC1-2BA,1999-02-01,1740252.96,USD,ACC-ENR-001,Enron Corp,ACC-EXT-004,Barclays PLC,Quarterly service fee,wire_transfer
BB483FE6-1EC,1999-02-02,1233697.18,USD,ACC-EXT-007,Azurix Corp,ACC-ENR-001,Enron Corp,Quarterly service fee,wire_transfer
986108C8-48F,1999-02-03,1256097.25,USD,ACC-EXT-002,JP Morgan Chase,ACC-ENR-001,Enron Corp,Pipeline maintenance services,wire_transfer
891BC629-6C3,1999-02-03,1930258.15,USD,ACC-EXT-009,Wessex Water Services,ACC-ENR-001,Enron Corp,Gas supply contract payment,wire_transfer
04DAC724-7A0,1999-02-03,1175280.09,USD,ACC-EXT-005,Portland General Electric,ACC-ENR-001,Enron Corp,Pipeline maintenance services,wire_transfer
6D541E63-4A0,1999-02-03,1962268.45,USD,ACC-ENR-001,Enron Corp,ACC-EXT-007,Azurix Corp,IT infrastructure services,wire_transfer
0C5995A0-6C9,1999-02-04,1909361.44,USD,ACC-EXT-008,Enron Pipeline Company,ACC-ENR-001,Enron Corp,Power purchase agreement,wire_transfer
5CCA6A99-7B3,1999-02-06,1516127.0,USD,ACC-ENR-001,Enron Corp,ACC-EXT-006,Dabhol Power Company,Capacity reservation charge,wire_transfer
34CF1CBA-C3A,1999-02-10,1327320.13,USD,ACC-EXT-001,Citibank N.A.,ACC-ENR-001,Enron Corp,Gas supply contract payment,wire_transfer
ABA81A52-C0B,1999-02-10,1667453.43,USD,ACC-ENR-001,Enron Corp,ACC-EXT-004,Barclays PLC,Fuel supply agreement,wire_transfer
DCC33A02-A8D,1999-02-10,1641011.58,USD,ACC-EXT-003,Deutsche Bank AG,ACC-ENR-001,Enron Corp,Interconnection fee,wire_transfer
F585492A-360,1999-02-10,377930.8,USD,ACC-EXT-009,Wessex Water Services,ACC-ENR-001,Enron Corp,Regulatory compliance fee,wire_transfer
BB755C6B-E06,1999-02-11,1600397.19,USD,ACC-ENR-001,Enron Corp,ACC-EXT-002,JP Morgan Chase,IT infrastructure services,wire_transfer
A8789495-BAA,1999-02-11,1899727.35,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Power purchase agreement,wire_transfer
89387145-F10,1999-02-11,1842461.62,USD,ACC-EXT-008,Enron Pipeline Company,ACC-ENR-001,Enron Corp,IT infrastructure services,wire_transfer
88548FA9-D55,1999-02-13,1286991.89,USD,ACC-EXT-004,Barclays PLC,ACC-ENR-001,Enron Corp,Gas supply contract payment,wire_transfer
52002DB2-695,1999-02-13,1434185.75,USD,ACC-EXT-008,Enron Pipeline Company,ACC-ENR-001,Enron Corp,Capacity reservation charge,wire_transfer
97906B43-7CC,1999-02-13,846058.65,USD,ACC-EXT-006,Dabhol Power Company,ACC-ENR-001,Enron Corp,Equipment lease payment,wire_transfer
0345C20F-F98,1999-02-14,525053.1,USD,ACC-EXT-010,EOTT Energy Partners,ACC-ENR-001,Enron Corp,Pipeline maintenance services,wire_transfer
1638B9A8-257,1999-02-15,50600.52,USD,ACC-ENR-001,Enron Corp,ACC-EXT-005,Portland General Electric,IT infrastructure services,wire_transfer
57FCFB15-22B,1999-02-16,1751236.35,USD,ACC-ENR-001,Enron Corp,ACC-EXT-003,Deutsche Bank AG,Equipment lease payment,wire_transfer
CBCC1D00-8D0,1999-02-18,1299612.39,USD,ACC-ENR-001,Enron Corp,ACC-EXT-007,Azurix Corp,Quarterly service fee,wire_transfer
1A91028E-B86,1999-02-19,686513.54,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Fuel supply agreement,wire_transfer
3341653B-D90,1999-02-19,1717265.0,USD,ACC-EXT-008,Enron Pipeline Company,ACC-ENR-001,Enron Corp,Transmission tariff payment,wire_transfer
7A31B630-6D9,1999-02-20,1295373.89,USD,ACC-EXT-005,Portland General Electric,ACC-ENR-001,Enron Corp,Power purchase agreement,wire_transfer
6ED1AB06-A61,1999-02-21,1827574.15,USD,ACC-ENR-001,Enron Corp,ACC-EXT-004,Barclays PLC,Interconnection fee,wire_transfer
ED7B2B1B-4A0,1999-02-22,1929794.34,USD,ACC-ENR-001,Enron Corp,ACC-EXT-003,Deutsche Bank AG,Equipment lease payment,wire_transfer
0F0C1F04-7F8,1999-02-23,1152459.01,USD,ACC-EXT-005,Portland General Electric,ACC-ENR-001,Enron Corp,Power purchase agreement,wire_transfer
0B4B6788-F40,1999-02-24,1959997.08,USD,ACC-EXT-002,JP Morgan Chase,ACC-ENR-001,Enron Corp,Power purchase agreement,wire_transfer
5A0D8D35-617,1999-02-24,1635239.48,USD,ACC-EXT-004,Barclays PLC,ACC-ENR-001,Enron Corp,Regulatory compliance fee,wire_transfer
89167810-26C,1999-02-25,1316076.57,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Equipment lease payment,wire_transfer
89CFF1C5-947,1999-02-25,63663.24,USD,ACC-ENR-001,Enron Corp,ACC-EXT-009,Wessex Water Services,Pipeline maintenance services,wire_transfer
09F3C8CF-ACE,1999-02-25,1188531.8,USD,ACC-ENR-001,Enron Corp,ACC-EXT-004,Barclays PLC,Balancing charge adjustment,wire_transfer
B4CB44BD-C80,1999-02-25,704264.81,USD,ACC-EXT-006,Dabhol Power Company,ACC-ENR-001,Enron Corp,Interconnection fee,wire_transfer
5A8ECC89-C90,1999-02-27,1843722.41,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Balancing charge adjustment,wire_transfer
46280FA3-9B0,1999-03-01,689309.55,USD,ACC-EXT-006,Dabhol Power Company,ACC-ENR-001,Enron Corp,Fuel supply agreement,wire_transfer
045FD64C-9AF,1999-03-01,1085748.43,USD,ACC-ENR-001,Enron Corp,ACC-EXT-006,Dabhol Power Company,Transmission tariff payment,wire_transfer
310A70B2-473,1999-03-01,1762884.77,USD,ACC-ENR-001,Enron Corp,ACC-EXT-008,Enron Pipeline Company,Capacity reservation charge,wire_transfer
642972A1-984,1999-03-01,1110710.96,USD,ACC-ENR-001,Enron Corp,ACC-EXT-008,Enron Pipeline Company,Regulatory compliance fee,wire_transfer
9C00ADDC-139,1999-03-02,1680649.79,USD,ACC-ENR-001,Enron Corp,ACC-EXT-006,Dabhol Power Company,Interconnection fee,wire_transfer
DF20DE5F-4FA,1999-03-03,732006.12,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Natural gas procurement,wire_transfer
29CA7621-B25,1999-03-03,427073.66,USD,ACC-ENR-001,Enron Corp,ACC-EXT-007,Azurix Corp,IT infrastructure services,wire_transfer
B67CDE74-F6C,1999-03-04,1274465.52,USD,ACC-ENR-001,Enron Corp,ACC-EXT-007,Azurix Corp,Quarterly service fee,wire_transfer
DB6A6965-B2C,1999-03-05,1970699.44,USD,ACC-EXT-010,EOTT Energy Partners,ACC-ENR-001,Enron Corp,Regulatory compliance fee,wire_transfer
7A5BB5AE-73C,1999-03-05,141763.95,USD,ACC-ENR-001,Enron Corp,ACC-EXT-006,Dabhol Power Company,IT infrastructure services,wire_transfer
050A680E-5EA,1999-03-05,1785289.32,USD,ACC-EXT-002,JP Morgan Chase,ACC-ENR-001,Enron Corp,Fuel supply agreement,wire_transfer
B4161B86-902,1999-03-06,7000000,USD,ACC-ENR-001,Enron Corp,ACC-SPE-001,LJM Cayman L.P.,Professional services,wire_transfer
3EED4827-2E9,1999-03-06,1310934.08,USD,ACC-EXT-002,JP Morgan Chase,ACC-ENR-001,Enron Corp,Pipeline maintenance services,wire_transfer
AABC682D-07C,1999-03-06,1995947.26,USD,ACC-ENR-001,Enron Corp,ACC-EXT-008,Enron Pipeline Company,IT infrastructure services,wire_transfer
5CB3E48B-E5A,1999-03-06,1097773.87,USD,ACC-EXT-009,Wessex Water Services,ACC-ENR-001,Enron Corp,Regulatory compliance fee,wire_transfer
9A259D7A-7AD,1999-03-07,606278.04,USD,ACC-EXT-009,Wessex Water Services,ACC-ENR-001,Enron Corp,Energy trading settlement,wire_transfer
1C0BED5F-CA1,1999-03-08,1310020.99,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Capacity reservation charge,wire_transfer
AC71056B-164,1999-03-08,775909.74,USD,ACC-EXT-002,JP Morgan Chase,ACC-ENR-001,Enron Corp,Equipment lease payment,wire_transfer
30A92447-FA2,1999-03-10,1853863.26,USD,ACC-EXT-007,Azurix Corp,ACC-ENR-001,Enron Corp,Gas supply contract payment,wire_transfer
20E79CD1-25B,1999-03-10,180214.05,USD,ACC-ENR-001,Enron Corp,ACC-EXT-002,JP Morgan Chase,Regulatory compliance fee,wire_transfer
25B66F2E-D25,1999-03-12,573951.72,USD,ACC-EXT-010,EOTT Energy Partners,ACC-ENR-001,Enron Corp,Power purchase agreement,wire_transfer
08D8B5BF-0DD,1999-03-12,566910.56,USD,ACC-EXT-005,Portland General Electric,ACC-ENR-001,Enron Corp,Power purchase agreement,wire_transfer
5308CB1D-E46,1999-03-13,184763.65,USD,ACC-ENR-001,Enron Corp,ACC-EXT-003,Deutsche Bank AG,Pipeline maintenance services,wire_transfer
B98183C8-8E2,1999-03-15,305755.41,USD,ACC-ENR-001,Enron Corp,ACC-EXT-004,Barclays PLC,Transmission tariff payment,wire_transfer
A94AD499-59D,1999-03-16,1279830.14,USD,ACC-EXT-007,Azurix Corp,ACC-ENR-001,Enron Corp,Quarterly service fee,wire_transfer
E1314404-E3A,1999-03-16,1356667.4,USD,ACC-ENR-001,Enron Corp,ACC-EXT-009,Wessex Water Services,Transmission tariff payment,wire_transfer
F7B66E11-1D1,1999-03-16,1765667.5,USD,ACC-ENR-001,Enron Corp,ACC-EXT-007,Azurix Corp,Fuel supply agreement,wire_transfer
7EC0581D-1C6,1999-03-17,583553.41,USD,ACC-EXT-008,Enron Pipeline Company,ACC-ENR-001,Enron Corp,Transmission tariff payment,wire_transfer
FC1C9B63-587,1999-03-17,1982673.28,USD,ACC-ENR-001,Enron Corp,ACC-EXT-009,Wessex Water Services,Quarterly service fee,wire_transfer
E45D518F-832,1999-03-17,873803.84,USD,ACC-ENR-001,Enron Corp,ACC-EXT-003,Deutsche Bank AG,Capacity reservation charge,wire_transfer
9FBDFC51-CE7,1999-03-18,611613.41,USD,ACC-ENR-001,Enron Corp,ACC-EXT-009,Wessex Water Services,Interconnection fee,wire_transfer
7C1277D1-19E,1999-03-18,472118.2,USD,ACC-EXT-010,EOTT Energy Partners,ACC-ENR-001,Enron Corp,Energy trading settlement,wire_transfer
987937B0-230,1999-03-19,829942.34,USD,ACC-EXT-008,Enron Pipeline Company,ACC-ENR-001,Enron Corp,Power purchase agreement,wire_transfer
834AB4A4-2CB,1999-03-19,451322.79,USD,ACC-ENR-001,Enron Corp,ACC-EXT-005,Portland General Electric,Balancing charge adjustment,wire_transfer
0F981EC8-60D,1999-03-19,1671888.46,USD,ACC-EXT-009,Wessex Water Services,ACC-ENR-001,Enron Corp,Capacity reservation charge,wire_transfer
C1F4D7B7-760,1999-03-20,1878886.88,USD,ACC-EXT-010,EOTT Energy Partners,ACC-ENR-001,Enron Corp,Natural gas procurement,wire_transfer
C2DD51D7-5A1,1999-03-22,1299107.22,USD,ACC-ENR-001,Enron Corp,ACC-EXT-005,Portland General Electric,Regulatory compliance fee,wire_transfer
18E6B699-B37,1999-03-22,760564.27,USD,ACC-EXT-005,Portland General Electric,ACC-ENR-001,Enron Corp,Fuel supply agreement,wire_transfer
DA2EC28D-337,1999-03-22,208619.74,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Fuel supply agreement,wire_transfer
7644B9EE-0BF,1999-03-22,1260213.73,USD,ACC-EXT-003,Deutsche Bank AG,ACC-ENR-001,Enron Corp,Equipment lease payment,wire_transfer
E23E6C1E-126,1999-03-22,1080359.6,USD,ACC-EXT-009,Wessex Water Services,ACC-ENR-001,Enron Corp,Natural gas procurement,wire_transfer
9561346D-4A4,1999-03-23,937999.36,USD,ACC-EXT-006,Dabhol Power Company,ACC-ENR-001,Enron Corp,Energy trading settlement,wire_transfer
2ACD7AFA-B21,1999-03-23,277191.35,USD,ACC-ENR-001,Enron Corp,ACC-EXT-006,Dabhol Power Company,Natural gas procurement,wire_transfer
A7306103-C3C,1999-03-23,93239.43,USD,ACC-ENR-001,Enron Corp,ACC-EXT-003,Deutsche Bank AG,IT infrastructure services,wire_transfer
C3038B33-446,1999-03-23,1883776.29,USD,ACC-EXT-002,JP Morgan Chase,ACC-ENR-001,Enron Corp,Power purchase agreement,wire_transfer
0188FA1D-093,1999-03-24,1303786.75,USD,ACC-EXT-004,Barclays PLC,ACC-ENR-001,Enron Corp,Interconnection fee,wire_transfer
D0BD581D-7A3,1999-03-25,1111281.38,USD,ACC-ENR-001,Enron Corp,ACC-EXT-006,Dabhol Power Company,Energy trading settlement,wire_transfer
6A070CCE-2CE,1999-03-26,1042453.23,USD,ACC-ENR-001,Enron Corp,ACC-EXT-008,Enron Pipeline Company,Transmission tariff payment,wire_transfer
9EE5F500-2FF,1999-03-26,273154.12,USD,ACC-EXT-006,Dabhol Power Company,ACC-ENR-001,Enron Corp,Power purchase agreement,wire_transfer
19B012CC-807,1999-03-26,1019064.96,USD,ACC-ENR-001,Enron Corp,ACC-EXT-010,EOTT Energy Partners,Transmission tariff payment,wire_transfer
434C3C9B-B71,1999-03-27,1750786.19,USD,ACC-ENR-001,Enron Corp,ACC-EXT-009,Wessex Water Services,Gas supply contract payment,wire_transfer
670C97AC-B6D,1999-03-28,1530845.98,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Fuel supply agreement,wire_transfer
E24B2481-727,1999-03-28,908703.09,USD,ACC-EXT-002,JP Morgan Chase,ACC-ENR-001,Enron Corp,Quarterly service fee,wire_transfer
80503DF5-676,1999-03-28,220958.37,USD,ACC-ENR-001,Enron Corp,ACC-SPE-009,Osprey Trust,Restructuring advisory,wire_transfer
36B6D492-13D,1999-03-29,1551637.69,USD,ACC-EXT-001,Citibank N.A.,ACC-ENR-001,Enron Corp,Quarterly service fee,wire_transfer
E58D207F-639,1999-03-29,121548.36,USD,ACC-EXT-006,Dabhol Power Company,ACC-ENR-001,Enron Corp,Regulatory compliance fee,wire_transfer
0293AD9E-C8E,1999-03-30,1048868.02,USD,ACC-ENR-001,Enron Corp,ACC-EXT-007,Azurix Corp,Balancing charge adjustment,wire_transfer
29E81B67-E63,1999-03-31,1192466.48,USD,ACC-ENR-001,Enron Corp,ACC-EXT-005,Portland General Electric,Capacity reservation charge,wire_transfer
E288F0F3-1AE,1999-03-31,474789.27,USD,ACC-EXT-007,Azurix Corp,ACC-ENR-001,Enron Corp,IT infrastructure services,wire_transfer
D5B46F85-D3A,1999-04-01,1318627.27,USD,ACC-ENR-001,Enron Corp,ACC-EXT-004,Barclays PLC,Power purchase agreement,wire_transfer
B0844056-2DB,1999-04-01,1473022.1,USD,ACC-ENR-001,Enron Corp,ACC-EXT-010,EOTT Energy Partners,IT infrastructure services,wire_transfer
E4A2EA7E-F32,1999-04-01,894802.38,USD,ACC-ENR-001,Enron Corp,ACC-EXT-010,EOTT Energy Partners,Gas supply contract payment,wire_transfer
5916B1C8-46A,1999-04-02,1026074.79,USD,ACC-EXT-009,Wessex Water Services,ACC-ENR-001,Enron Corp,Quarterly service fee,wire_transfer
0621EA15-FDD,1999-04-03,1301986.5,USD,ACC-ENR-001,Enron Corp,ACC-EXT-005,Portland General Electric,Gas supply contract payment,wire_transfer
E3E71809-3CA,1999-04-03,1217641.09,USD,ACC-ENR-001,Enron Corp,ACC-EXT-009,Wessex Water Services,Transmission tariff payment,wire_transfer
603CEF19-C5C,1999-04-03,647760.74,USD,ACC-ENR-001,Enron Corp,ACC-EXT-005,Portland General Electric,Energy trading settlement,wire_transfer
06BB9548-885,1999-04-04,1174466.74,USD,ACC-ENR-001,Enron Corp,ACC-EXT-004,Barclays PLC,Energy trading settlement,wire_transfer
E4263CD8-FAE,1999-04-04,135842.81,USD,ACC-EXT-010,EOTT Energy Partners,ACC-ENR-001,Enron Corp,Balancing charge adjustment,wire_transfer
B4A352FE-AE9,1999-04-04,982900.48,USD,ACC-ENR-001,Enron Corp,ACC-EXT-003,Deutsche Bank AG,Quarterly service fee,wire_transfer
32F26E26-93D,1999-04-04,1993511.48,USD,ACC-EXT-006,Dabhol Power Company,ACC-ENR-001,Enron Corp,Gas supply contract payment,wire_transfer
BA0CF5C6-95D,1999-04-04,199046.96,USD,ACC-EXT-002,JP Morgan Chase,ACC-ENR-001,Enron Corp,Gas supply contract payment,wire_transfer
E5F726A8-3BD,1999-04-05,864784.93,USD,ACC-EXT-010,EOTT Energy Partners,ACC-ENR-001,Enron Corp,Interconnection fee,wire_transfer
B15B406E-CF8,1999-04-05,234745.58,USD,ACC-ENR-001,Enron Corp,ACC-EXT-008,Enron Pipeline Company,Pipeline maintenance services,wire_transfer
1B0832AF-8EE,1999-04-05,1391062.31,USD,ACC-EXT-003,Deutsche Bank AG,ACC-ENR-001,Enron Corp,IT infrastructure services,wire_transfer
2784C561-DB2,1999-04-06,782305.29,USD,ACC-EXT-006,Dabhol Power Company,ACC-ENR-001,Enron Corp,Gas supply contract payment,wire_transfer
CC13BC59-9AA,1999-04-07,1023957.32,USD,ACC-ENR-001,Enron Corp,ACC-EXT-003,Deutsche Bank AG,Fuel supply agreement,wire_transfer
01BA888F-EFE,1999-04-08,1050953.19,USD,ACC-ENR-001,Enron Corp,ACC-EXT-004,Barclays PLC,Natural gas procurement,wire_transfer
DDB02274-A8B,1999-04-08,1572812.54,USD,ACC-ENR-001,Enron Corp,ACC-EXT-006,Dabhol Power Company,Regulatory compliance fee,wire_transfer
0330A925-0F5,1999-04-09,1576169.81,USD,ACC-EXT-005,Portland General Electric,ACC-ENR-001,Enron Corp,Regulatory compliance fee,wire_transfer
61AB83BA-611,1999-04-10,1679746.3,USD,ACC-ENR-001,Enron Corp,ACC-EXT-001,Citibank N.A.,Interconnection fee,wire_transfer
BE152EF3-6D5,1999-04-10,756632.94,USD,ACC-EXT-001,Citibank N.A.,ACC-ENR-001,Enron Corp,Power purchase agreement,wire_transfer
18A86A4B-E2E,1999-04-10,893533.5,USD,ACC-EXT-005,Portland General Electric,ACC-ENR-001,Enron Corp,Interconnection fee,wire_transfer
58083B97-4EA,1999-04-10,1578724.27,USD,ACC-EXT-008,Enron Pipeline Company,ACC-ENR-001,Enron Corp,Gas supply contract payment,wire_transfer
AE32A19A-D7A,1999-04-11,1136198.74,USD,ACC-EXT-001,Citibank N.A.,ACC-ENR-001,Enron Corp,Power purchase agreement,wire_transfer
D507C497-12C,1999-04-11,1037092.1,USD,ACC-EXT-007,Azurix Corp,ACC-ENR-001,Enron Corp,Quarterly service fee,wire_transfer
E681CFCE-063,1999-04-13,280041.98,USD,ACC-ENR-001,Enron Corp,ACC-EXT-007,Azurix Corp,Equipment lease payment,wire_transfer
22C8B507-F35,1999-04-14,253830.04,USD,ACC-EXT-006,Dabhol Power Company,ACC-ENR-001,Enron Corp,Energy trading settlement,wire_transfer
